Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
50,JuJu Smith-Schuster\SmitJu00,PIT,21,wr,14,7,79,58,73.4%,917,15.8,7,97,4.1,65.5,0
51,Kenny Stills\StilKe00,MIA,25,WR,16,16,105,58,55.2%,847,14.6,6,61,3.6,52.9,4
52,Jimmy Graham*\GrahJi00,SEA,31,TE,16,13,96,57,59.4%,520,9.1,10,33,3.6,32.5,0
53,T.Y. Hilton*\HiltT.00,IND,28,WR,16,16,109,57,52.3%,966,16.9,4,80,3.6,60.4,2
54,Alshon Jeffery\JeffAl00,PHI,27,WR,16,16,120,57,47.5%,789,13.8,9,53,3.6,49.3,0
55,DeVante Parker\ParkDe01,MIA,24,WR,13,12,96,57,59.4%,670,11.8,1,36,4.4,51.5,1
56,Kyle Rudolph*\RudoKy00,MIN,28,TE,16,16,81,57,70.4%,532,9.3,8,34,3.6,33.3,0
57,Marquise Goodwin\GoodMa00,SFO,27,WR,16,16,105,56,53.3%,962,17.2,2,83,3.5,60.1,0
58,Marqise Lee\LeexMa00,JAX,26,WR,14,14,96,56,58.3%,702,12.5,3,45,4.0,50.1,1
59,James White\WhitJa02,NWE,25,rb,14,4,72,56,77.8%,429,7.7,3,27,4.0,30.6,0
60,Robert Woods\WoodRo02,LAR,25,WR,12,11,85,56,65.9%,781,13.9,5,94,4.7,65.1,1
61,Jared Cook\CookJa02,OAK,30,TE,16,16,86,54,62.8%,688,12.7,2,35,3.4,43.0,1
62,Eric Decker\DeckEr00,TEN,30,WR,16,8,83,54,65.1%,563,10.4,1,29,3.4,35.2,0
63,Tarik Cohen\CoheTa00,CHI,22,rb/wr,16,4,71,53,74.6%,353,6.7,1,70,3.3,22.1,3
64,Eric Ebron\EbroEr00,DET,24,TE,16,9,86,53,61.6%,574,10.8,4,44,3.3,35.9,1
65,Ted Ginn\GinnTe00,NOR,32,WR,15,10,70,53,75.7%,787,14.8,4,54,3.5,52.5,2
66,Kareem Hunt*\HuntKa00,KAN,22,RB,16,16,63,53,84.1%,455,8.6,3,78,3.3,28.4,1
67,Rishard Matthews\MattRi00,TEN,28,WR,14,11,87,53,60.9%,795,15.0,4,75,3.8,56.8,0
68,Jordy Nelson\NelsJo00,GNB,32,WR,15,15,88,53,60.2%,482,9.1,6,58,3.5,32.1,0
69,Theo Riddick\RiddTh00,DET,26,rb,16,5,71,53,74.6%,444,8.4,2,63,3.3,27.8,1
70,Terrance Williams\WillTe01,DAL,28,WR,16,14,78,53,67.9%,568,10.7,0,56,3.3,35.5,0
71,Brandon LaFell\LaFeBr00,CIN,31,WR,16,15,89,52,58.4%,548,10.5,3,45,3.3,34.3,1
72,Mike Wallace\WallMi00,BAL,31,WR,15,14,92,52,56.5%,748,14.4,4,66,3.5,49.9,0
73,Jerick McKinnon\McKiJe00,MIN,25,rb,16,1,68,51,75.0%,421,8.3,2,41,3.2,26.3,3
74,Martavis Bryant\BryaMa00,PIT,26,WR,15,8,84,50,59.5%,603,12.1,3,51,3.3,40.2,0
75,DeSean Jackson\JackDe00,TAM,31,WR,14,13,90,50,55.6%,668,13.4,3,41,3.6,47.7,0
76,Austin Seferian-Jenkins\SefeAu00,NYJ,25,TE,13,10,74,50,67.6%,357,7.1,3,28,3.8,27.5,1
77,Charles Clay\ClayCh00,BUF,28,TE,13,13,74,49,66.2%,558,11.4,2,44,3.8,42.9,1
78,Austin Hooper\HoopAu00,ATL,23,TE,16,8,65,49,75.4%,526,10.7,3,88,3.1,32.9,0
79,Kelvin Benjamin\BenjKe00,2TM,26,,14,14,78,48,61.5%,692,14.4,3,43,3.4,49.4,0
80,Cameron Brate\BratCa00,TAM,26,te,16,6,77,48,62.3%,591,12.3,6,35,3.0,36.9,1
81,Amari Cooper\CoopAm00,OAK,23,WR,14,12,96,48,50.0%,680,14.2,7,87,3.4,48.6,1
82,Emmanuel Sanders\SandEm00,DEN,30,WR,12,11,92,47,51.1%,555,11.8,2,38,3.9,46.3,0
83,Javorius Allen\AlleJa01,BAL,26,,16,0,60,46,76.7%,250,5.4,2,20,2.9,15.6,0
84,Ryan Grant\GranRy01,WAS,27,wr,16,7,65,45,69.2%,573,12.7,4,40,2.8,35.8,0
85,Hunter Henry\HenrHu00,LAC,23,fb/tb/TE,14,13,62,45,72.6%,579,12.9,4,34,3.2,41.4,0
86,Tyler Lockett\LockTy00,SEA,25,WR,16,8,71,45,63.4%,555,12.3,2,74,2.8,34.7,0
87,Paul Richardson\RichPa01,SEA,25,WR,16,13,80,44,55.0%,703,16.0,6,61,2.8,43.9,0
88,Shane Vereen\VereSh00,NYG,28,,16,0,53,44,83.0%,253,5.8,0,20,2.8,15.8,0
89,Giovani Bernard\BernGi00,CIN,26,rb,16,2,60,43,71.7%,389,9.0,2,61,2.7,24.3,0
90,Vernon Davis\DaviVe00,WAS,33,TE/wr,16,16,69,43,62.3%,648,15.1,3,69,2.7,40.5,2
91,Jesse James\JameJe00,PIT,23,TE,16,14,63,43,68.3%,372,8.7,3,32,2.7,23.3,0
92,George Kittle\KittGe00,SFO,24,te,15,7,63,43,68.3%,515,12.0,2,44,2.9,34.3,0
93,Seth Roberts\RobeSe00,OAK,26,wr,15,7,65,43,66.2%,455,10.6,1,29,2.9,30.3,2
94,Trent Taylor\TaylTr02,SFO,23,wr,15,1,60,43,71.7%,430,10.0,2,33,2.9,28.7,1
95,Tyrell Williams\WillTy00,LAC,25,WR,16,15,69,43,62.3%,728,16.9,4,75,2.7,45.5,1
96,Keelan Cole\ColeKe00,JAX,24,wr,16,6,83,42,50.6%,748,17.8,3,75,2.6,46.8,2
97,Tyler Kroft\KrofTy00,CIN,25,TE,16,16,62,42,67.7%,404,9.6,7,59,2.6,25.3,0
98,Albert Wilson\WilsAl02,KAN,25,wr,13,7,62,42,67.7%,554,13.2,3,63,3.2,42.6,0
99,Julius Thomas\ThomJu00,MIA,29,TE,14,13,62,41,66.1%,388,9.5,3,27,2.9,27.7,1
